"time","x1","x2","der(x1)","der(x2)","u","y"
13.7,-0.7380339534898727,-1.706332099569553,-1.706332099569553,7.23318186835903,0.6326730115163863,-0.7380339534898727
13.8,-0.8707188683225107,-0.9323061820512919,-0.9323061820512919,8.139149496817712,0.636537182221968,-0.8707188683225107
13.9,-0.9224973178141555,-0.0979349970919705,-0.0979349970919705,8.460054777672843,0.640385439531147,-0.9224973178141555
14,-0.8900972232435447,0.7427498887544035,0.7427498887544035,8.267891802473406,0.6442176872376911,-0.8900972232435447
14.1,-0.7754811120463511,1.537074091764646,1.537074091764646,7.515619593638985,0.6480338295356073,-0.7754811120463511
14.2,-0.5862809630086516,2.223012676294029,2.223012676294029,6.079381896561977,0.6518337710215366,-0.5862809630086516
14.3,-0.3369174555427987,2.727863228800702,2.727863228800702,3.898601616806559,0.6556174166971404,-0.3369174555427987
14.4,-0.04906139931105526,2.983159677956238,2.983159677956238,1.140483942333685,0.6593846719714732,-0.04906139931105526
14.5,0.2500728917567264,2.950958419417171,2.950958419417171,-1.764590229572145,0.6631354426633498,0.2500728917567264
14.6,0.5318709452179398,2.642518893555981,2.642518893555981,-4.308239690475776,0.6668696350036979,0.5318709452179398
14.7,0.7711707107364456,2.112498718655773,2.112498718655773,-6.166739822363475,0.6705871556379037,0.7711707107364456
14.8,0.9494138894440078,1.433490259464335,1.433490259464335,-7.301972290771754,0.6742879116281452,0.9494138894440078
14.9,1.055121624673721,0.671470034510615,0.671470034510615,-7.856337848930876,0.6779718104557149,1.055121624673721
15,1.082618093198014,-0.1236300642242263,-0.1236300642242263,-7.982443018840346,0.6816387600233341,1.082618093198014
15.1,1.030601306548138,-0.9124895026354771,-0.9124895026354771,-7.727849716957895,0.685288668657455,1.030601306548138
15.2,0.9016917325410672,-1.653718985839626,-1.653718985839626,-7.005820711672812,0.6889214451105513,0.9016917325410672
15.3,0.7032528427418723,-2.292521825988959,-2.292521825988959,-5.651611445917323,0.6925369985634013,0.7032528427418723
15.4,0.4489211069622974,-2.759239918886058,-2.759239918886058,-3.561343890695626,0.6961352386273567,0.4489211069622974
15.5,0.1594994657672994,-2.984021775917492,-2.984021775917492,-0.858347812251706,0.6997160753466035,0.1594994657672994
15.6,-0.1383240024933405,-2.923725280869078,-2.923725280869078,2.055914787365346,0.7032794192004102,-0.1383240024933405
15.7,-0.4158458040969709,-2.58304761044842,-2.58304761044842,4.669710012100763,0.706825181105366,-0.4158458040969709
15.8,-0.6472314239979558,-2.012050882821928,-2.012050882821928,6.625587765710141,0.7103532724176078,-0.6472314239979558
15.9,-0.8129877981029053,-1.282881366056986,-1.282881366056986,7.839298446866733,0.7138636049350369,-0.8129877981029053
16,-0.9008895974231483,-0.4657217656656966,-0.4657217656656966,8.407214792522051,0.7173560908995228,-0.9008895974231483
16.1,-0.905163244089209,0.3807392722964793,0.3807392722964793,8.436650487115946,0.7208306429990986,-0.905163244089209
16.2,-0.8255090071298978,1.2039933517446,1.2039933517446,7.933588263751038,0.7242871743701426,-0.8255090071298978
16.3,-0.6670461468816552,1.94635299111255,1.94635299111255,6.796858553080721,0.7277255985995506,-0.6670461468816552
16.4,-0.4412378506645374,2.538526986409554,2.538526986409554,4.920595462401456,0.7311458297268958,-0.4412378506645374
16.5,-0.1668036731156758,2.907436797884689,2.907436797884689,2.363314237997733,0.7345477822465786,-0.1668036731156758
16.6,0.1309639843586295,2.99932285750856,2.99932285750856,-0.5431558656901218,0.7379313711099628,0.1309639843586295
16.7,0.4234370188627625,2.804241894714221,2.804241894714221,-3.289596606599425,0.741296511727503,0.4234370188627625
16.8,0.6835146093719166,2.36125618167748,2.36125618167748,-5.450587692029473,0.7446431199708594,0.6835146093719166
16.9,0.8897125140497568,1.739022485604612,1.739022485604612,-6.873327324877264,0.7479711121749998,0.8897125140497568
17,1.027721184900572,1.008302762828675,1.008302762828675,-7.647291985992974,0.7512804051402927,1.027721184900572
17.1,1.089653465846627,0.2254655883696864,0.2254655883696864,-7.941666373378785,0.7545709161345863,1.089653465846627
17.2,1.072477229256071,-0.5676253358367238,-0.5676253358367238,-7.859135764172692,0.757842562895277,1.072477229256071
17.3,0.9770432679353932,-1.3329438759565,-1.3329438759565,-7.369891611437479,0.7610952636313663,0.9770432679353932
17.4,0.8083683248336553,-2.023269769177254,-2.023269769177254,-6.329882172471558,0.7643289370255051,0.8083683248336553
17.5,0.5769893002028307,-2.575212027657641,-2.575212027657641,-4.583842094540734,0.7675435022360271,0.5769893002028307
17.6,0.3003728738257988,-2.916166250411453,-2.916166250411453,-2.13180866475467,0.7707388788989694,0.3003728738257988
17.7,0.002803761816411244,-2.987097501769096,-2.987097501769096,0.7464101197474491,0.7739149871300817,0.002803761816411244
17.8,-0.2873586216714123,-2.769167860559985,-2.769167860559985,3.557423378955004,0.777071747526824,-0.2873586216714123
17.9,-0.5423952683595898,-2.293400733852486,-2.293400733852486,5.844022752054032,0.7802090811703504,-0.5423952683595898
18,-0.739615553825872,-1.62516713246706,-1.62516713246706,7.395305761088004,0.7833269096274834,-0.739615553825872
18.1,-0.8634728605966089,-0.8378877462155051,-0.8378877462155051,8.243043556963908,0.7864251549526741,-0.8634728605966089
18.2,-0.9053835078552729,0.004052097768259648,0.004052097768259648,8.506657806514976,0.7895037396899505,-0.9053835078552729
18.3,-0.8626606452186513,0.846047287973727,0.846047287973727,8.244001018915789,0.7925625868748546,-0.8626606452186513
18.4,-0.7379825657090555,1.633415020250299,1.633415020250299,7.395737528154484,0.795601620036366,-0.7379825657090555
18.5,-0.539938567040078,2.301577776864525,2.301577776864525,5.841777927369054,0.7986207631988143,-0.539938567040078
18.6,-0.2841014084580328,2.776928638054601,2.776928638054601,3.551313832558204,0.8016199408837772,-0.2841014084580328
